target,buying,maint,doors,persons,lug_boot,safety
unacc_84,0,0,3,0,1,0
unacc_85,0,0,3,0,1,1
unacc_86,0,0,3,0,1,2
unacc_87,0,0,3,0,2,0
unacc_88,0,0,3,0,2,1
unacc_89,0,0,3,0,2,2
unacc_90,0,0,3,1,0,0
unacc_91,0,0,3,1,0,1
unacc_92,0,0,3,1,0,2
unacc_93,0,0,3,1,1,0
unacc_94,0,0,3,1,1,1
unacc_95,0,0,3,1,1,2
unacc_96,0,0,3,1,2,0
unacc_97,0,0,3,1,2,1
unacc_98,0,0,3,1,2,2
unacc_99,0,0,3,2,0,0
unacc_100,0,0,3,2,0,1
unacc_101,0,0,3,2,0,2
unacc_102,0,0,3,2,1,0
unacc_103,0,0,3,2,1,1
unacc_104,0,0,3,2,1,2
unacc_105,0,0,3,2,2,0
unacc_106,0,0,3,2,2,1
unacc_107,0,0,3,2,2,2
unacc_108,0,1,0,0,0,0
unacc_109,0,1,0,0,0,1
unacc_110,0,1,0,0,0,2
unacc_111,0,1,0,0,1,0
unacc_112,0,1,0,0,1,1
unacc_113,0,1,0,0,1,2
unacc_114,0,1,0,0,2,0
unacc_115,0,1,0,0,2,1
unacc_116,0,1,0,0,2,2
unacc_117,0,1,0,1,0,0
unacc_118,0,1,0,1,0,1
unacc_119,0,1,0,1,0,2
unacc_120,0,1,0,1,1,0
unacc_121,0,1,0,1,1,1
unacc_122,0,1,0,1,1,2
unacc_123,0,1,0,1,2,0
unacc_124,0,1,0,1,2,1
unacc_125,0,1,0,1,2,2
unacc_126,0,1,0,2,0,0
unacc_127,0,1,0,2,0,1
unacc_128,0,1,0,2,0,2
unacc_129,0,1,0,2,1,0
unacc_130,0,1,0,2,1,1
unacc_131,0,1,0,2,1,2
unacc_132,0,1,0,2,2,0
unacc_133,0,1,0,2,2,1
unacc_134,0,1,0,2,2,2
unacc_135,0,1,1,0,0,0
unacc_136,0,1,1,0,0,1
unacc_137,0,1,1,0,0,2
unacc_138,0,1,1,0,1,0
unacc_139,0,1,1,0,1,1
unacc_140,0,1,1,0,1,2
unacc_141,0,1,1,0,2,0
unacc_142,0,1,1,0,2,1
unacc_143,0,1,1,0,2,2
unacc_144,0,1,1,1,0,0
unacc_145,0,1,1,1,0,1
unacc_146,0,1,1,1,0,2
unacc_147,0,1,1,1,1,0
unacc_148,0,1,1,1,1,1
unacc_149,0,1,1,1,1,2
unacc_150,0,1,1,1,2,0
unacc_151,0,1,1,1,2,1
unacc_152,0,1,1,1,2,2
unacc_153,0,1,1,2,0,0
unacc_154,0,1,1,2,0,1
unacc_155,0,1,1,2,0,2
unacc_156,0,1,1,2,1,0
unacc_157,0,1,1,2,1,1
unacc_158,0,1,1,2,1,2
unacc_159,0,1,1,2,2,0
unacc_160,0,1,1,2,2,1
unacc_161,0,1,1,2,2,2
unacc_162,0,1,2,0,0,0
unacc_163,0,1,2,0,0,1
unacc_164,0,1,2,0,0,2
unacc_165,0,1,2,0,1,0
unacc_166,0,1,2,0,1,1
unacc_167,0,1,2,0,1,2
unacc_168,0,1,2,0,2,0
unacc_169,0,1,2,0,2,1
unacc_170,0,1,2,0,2,2
unacc_171,0,1,2,1,0,0
unacc_172,0,1,2,1,0,1
unacc_173,0,1,2,1,0,2
unacc_174,0,1,2,1,1,0
unacc_175,0,1,2,1,1,1
unacc_176,0,1,2,1,1,2
unacc_177,0,1,2,1,2,0
unacc_178,0,1,2,1,2,1
unacc_179,0,1,2,1,2,2
unacc_180,0,1,2,2,0,0
unacc_181,0,1,2,2,0,1
unacc_182,0,1,2,2,0,2
unacc_183,0,1,2,2,1,0
unacc_184,0,1,2,2,1,1
unacc_185,0,1,2,2,1,2
unacc_186,0,1,2,2,2,0
unacc_187,0,1,2,2,2,1
unacc_188,0,1,2,2,2,2
unacc_189,0,1,3,0,0,0
unacc_190,0,1,3,0,0,1
unacc_191,0,1,3,0,0,2
unacc_192,0,1,3,0,1,0
unacc_193,0,1,3,0,1,1
unacc_194,0,1,3,0,1,2
unacc_195,0,1,3,0,2,0
unacc_196,0,1,3,0,2,1
unacc_197,0,1,3,0,2,2
unacc_198,0,1,3,1,0,0
unacc_199,0,1,3,1,0,1
unacc_200,0,1,3,1,0,2
unacc_201,0,1,3,1,1,0
unacc_202,0,1,3,1,1,1
unacc_203,0,1,3,1,1,2
unacc_204,0,1,3,1,2,0
unacc_205,0,1,3,1,2,1
unacc_206,0,1,3,1,2,2
unacc_207,0,1,3,2,0,0
unacc_208,0,1,3,2,0,1
unacc_209,0,1,3,2,0,2
unacc_210,0,1,3,2,1,0
unacc_211,0,1,3,2,1,1
unacc_212,0,1,3,2,1,2
unacc_213,0,1,3,2,2,0
unacc_214,0,1,3,2,2,1
unacc_215,0,1,3,2,2,2
unacc_216,0,2,0,0,0,0
unacc_217,0,2,0,0,0,1
unacc_218,0,2,0,0,0,2
unacc_219,0,2,0,0,1,0
unacc_220,0,2,0,0,1,1
unacc_221,0,2,0,0,1,2
unacc_222,0,2,0,0,2,0
unacc_223,0,2,0,0,2,1
unacc_224,0,2,0,0,2,2
unacc_225,0,2,0,1,0,0
unacc_226,0,2,0,1,0,1
acc_227,0,2,0,1,0,2
unacc_228,0,2,0,1,1,0
unacc_229,0,2,0,1,1,1
acc_230,0,2,0,1,1,2
unacc_231,0,2,0,1,2,0
acc_232,0,2,0,1,2,1
acc_233,0,2,0,1,2,2
unacc_234,0,2,0,2,0,0
unacc_235,0,2,0,2,0,1
unacc_236,0,2,0,2,0,2
unacc_237,0,2,0,2,1,0
unacc_238,0,2,0,2,1,1
acc_239,0,2,0,2,1,2
unacc_240,0,2,0,2,2,0
acc_241,0,2,0,2,2,1
acc_242,0,2,0,2,2,2
unacc_243,0,2,1,0,0,0
unacc_244,0,2,1,0,0,1
unacc_245,0,2,1,0,0,2
unacc_246,0,2,1,0,1,0
unacc_247,0,2,1,0,1,1
unacc_248,0,2,1,0,1,2
unacc_249,0,2,1,0,2,0
unacc_250,0,2,1,0,2,1
unacc_251,0,2,1,0,2,2
unacc_252,0,2,1,1,0,0
unacc_253,0,2,1,1,0,1
acc_254,0,2,1,1,0,2
unacc_255,0,2,1,1,1,0
unacc_256,0,2,1,1,1,1
acc_257,0,2,1,1,1,2
unacc_258,0,2,1,1,2,0
acc_259,0,2,1,1,2,1
acc_260,0,2,1,1,2,2
unacc_261,0,2,1,2,0,0
unacc_262,0,2,1,2,0,1
acc_263,0,2,1,2,0,2
unacc_264,0,2,1,2,1,0
acc_265,0,2,1,2,1,1
acc_266,0,2,1,2,1,2
unacc_267,0,2,1,2,2,0
acc_268,0,2,1,2,2,1
acc_269,0,2,1,2,2,2
unacc_270,0,2,2,0,0,0
unacc_271,0,2,2,0,0,1
unacc_272,0,2,2,0,0,2
unacc_273,0,2,2,0,1,0
unacc_274,0,2,2,0,1,1
unacc_275,0,2,2,0,1,2
unacc_276,0,2,2,0,2,0
unacc_277,0,2,2,0,2,1
unacc_278,0,2,2,0,2,2
unacc_279,0,2,2,1,0,0
unacc_280,0,2,2,1,0,1
acc_281,0,2,2,1,0,2
unacc_282,0,2,2,1,1,0
acc_283,0,2,2,1,1,1
acc_284,0,2,2,1,1,2
unacc_285,0,2,2,1,2,0
acc_286,0,2,2,1,2,1
acc_287,0,2,2,1,2,2
unacc_288,0,2,2,2,0,0
unacc_289,0,2,2,2,0,1
acc_290,0,2,2,2,0,2
unacc_291,0,2,2,2,1,0
acc_292,0,2,2,2,1,1
acc_293,0,2,2,2,1,2
unacc_294,0,2,2,2,2,0
acc_295,0,2,2,2,2,1
acc_296,0,2,2,2,2,2
unacc_297,0,2,3,0,0,0
unacc_298,0,2,3,0,0,1
unacc_299,0,2,3,0,0,2
unacc_300,0,2,3,0,1,0
unacc_301,0,2,3,0,1,1
unacc_302,0,2,3,0,1,2
unacc_303,0,2,3,0,2,0
unacc_304,0,2,3,0,2,1
unacc_305,0,2,3,0,2,2
unacc_306,0,2,3,1,0,0
unacc_307,0,2,3,1,0,1
acc_308,0,2,3,1,0,2
unacc_309,0,2,3,1,1,0
acc_310,0,2,3,1,1,1
acc_311,0,2,3,1,1,2
unacc_312,0,2,3,1,2,0
acc_313,0,2,3,1,2,1
acc_314,0,2,3,1,2,2
unacc_315,0,2,3,2,0,0
unacc_316,0,2,3,2,0,1
acc_317,0,2,3,2,0,2
unacc_318,0,2,3,2,1,0
acc_319,0,2,3,2,1,1
acc_320,0,2,3,2,1,2
unacc_321,0,2,3,2,2,0
acc_322,0,2,3,2,2,1
acc_323,0,2,3,2,2,2
unacc_324,0,3,0,0,0,0
unacc_325,0,3,0,0,0,1
unacc_326,0,3,0,0,0,2
unacc_327,0,3,0,0,1,0
unacc_328,0,3,0,0,1,1
unacc_329,0,3,0,0,1,2
unacc_330,0,3,0,0,2,0
unacc_331,0,3,0,0,2,1
unacc_332,0,3,0,0,2,2
unacc_333,0,3,0,1,0,0
unacc_334,0,3,0,1,0,1
acc_335,0,3,0,1,0,2
unacc_336,0,3,0,1,1,0
unacc_337,0,3,0,1,1,1
acc_338,0,3,0,1,1,2
unacc_339,0,3,0,1,2,0
acc_340,0,3,0,1,2,1
acc_341,0,3,0,1,2,2
unacc_342,0,3,0,2,0,0
unacc_343,0,3,0,2,0,1
unacc_344,0,3,0,2,0,2
unacc_345,0,3,0,2,1,0
unacc_346,0,3,0,2,1,1
acc_347,0,3,0,2,1,2
unacc_348,0,3,0,2,2,0
acc_349,0,3,0,2,2,1
acc_350,0,3,0,2,2,2
unacc_351,0,3,1,0,0,0
unacc_352,0,3,1,0,0,1
unacc_353,0,3,1,0,0,2
unacc_354,0,3,1,0,1,0
unacc_355,0,3,1,0,1,1
unacc_356,0,3,1,0,1,2
unacc_357,0,3,1,0,2,0
unacc_358,0,3,1,0,2,1
unacc_359,0,3,1,0,2,2
unacc_360,0,3,1,1,0,0
unacc_361,0,3,1,1,0,1
acc_362,0,3,1,1,0,2
unacc_363,0,3,1,1,1,0
unacc_364,0,3,1,1,1,1
acc_365,0,3,1,1,1,2
unacc_366,0,3,1,1,2,0
acc_367,0,3,1,1,2,1
acc_368,0,3,1,1,2,2
unacc_369,0,3,1,2,0,0
unacc_370,0,3,1,2,0,1
acc_371,0,3,1,2,0,2
unacc_372,0,3,1,2,1,0
acc_373,0,3,1,2,1,1
acc_374,0,3,1,2,1,2
unacc_375,0,3,1,2,2,0
acc_376,0,3,1,2,2,1
acc_377,0,3,1,2,2,2
unacc_378,0,3,2,0,0,0
unacc_379,0,3,2,0,0,1
unacc_380,0,3,2,0,0,2
unacc_381,0,3,2,0,1,0
unacc_382,0,3,2,0,1,1
unacc_383,0,3,2,0,1,2
unacc_384,0,3,2,0,2,0
unacc_385,0,3,2,0,2,1
unacc_386,0,3,2,0,2,2
unacc_387,0,3,2,1,0,0
unacc_388,0,3,2,1,0,1
acc_389,0,3,2,1,0,2
unacc_390,0,3,2,1,1,0
acc_391,0,3,2,1,1,1
acc_392,0,3,2,1,1,2
unacc_393,0,3,2,1,2,0
acc_394,0,3,2,1,2,1
acc_395,0,3,2,1,2,2
unacc_396,0,3,2,2,0,0
unacc_397,0,3,2,2,0,1
acc_398,0,3,2,2,0,2
unacc_399,0,3,2,2,1,0
acc_400,0,3,2,2,1,1
acc_401,0,3,2,2,1,2
unacc_402,0,3,2,2,2,0
acc_403,0,3,2,2,2,1
acc_404,0,3,2,2,2,2
unacc_405,0,3,3,0,0,0
unacc_406,0,3,3,0,0,1
unacc_407,0,3,3,0,0,2
unacc_408,0,3,3,0,1,0
unacc_409,0,3,3,0,1,1
unacc_410,0,3,3,0,1,2
unacc_411,0,3,3,0,2,0
unacc_412,0,3,3,0,2,1
unacc_413,0,3,3,0,2,2
unacc_414,0,3,3,1,0,0
unacc_415,0,3,3,1,0,1
acc_416,0,3,3,1,0,2
unacc_417,0,3,3,1,1,0
acc_418,0,3,3,1,1,1
acc_419,0,3,3,1,1,2
unacc_420,0,3,3,1,2,0
acc_421,0,3,3,1,2,1
acc_422,0,3,3,1,2,2
unacc_423,0,3,3,2,0,0
unacc_424,0,3,3,2,0,1
acc_425,0,3,3,2,0,2
unacc_426,0,3,3,2,1,0
acc_427,0,3,3,2,1,1
acc_428,0,3,3,2,1,2
unacc_429,0,3,3,2,2,0
acc_430,0,3,3,2,2,1
acc_431,0,3,3,2,2,2
unacc_432,1,0,0,0,0,0
unacc_433,1,0,0,0,0,1
unacc_434,1,0,0,0,0,2
unacc_435,1,0,0,0,1,0
unacc_436,1,0,0,0,1,1
unacc_437,1,0,0,0,1,2
unacc_438,1,0,0,0,2,0
unacc_439,1,0,0,0,2,1
unacc_440,1,0,0,0,2,2
unacc_441,1,0,0,1,0,0
unacc_442,1,0,0,1,0,1
unacc_443,1,0,0,1,0,2
unacc_444,1,0,0,1,1,0
unacc_445,1,0,0,1,1,1
unacc_446,1,0,0,1,1,2
unacc_447,1,0,0,1,2,0
unacc_448,1,0,0,1,2,1
unacc_449,1,0,0,1,2,2
unacc_450,1,0,0,2,0,0
unacc_451,1,0,0,2,0,1
unacc_452,1,0,0,2,0,2
unacc_453,1,0,0,2,1,0
unacc_454,1,0,0,2,1,1
unacc_455,1,0,0,2,1,2
unacc_456,1,0,0,2,2,0
unacc_457,1,0,0,2,2,1
unacc_458,1,0,0,2,2,2
unacc_459,1,0,1,0,0,0
unacc_460,1,0,1,0,0,1
unacc_461,1,0,1,0,0,2
unacc_462,1,0,1,0,1,0
unacc_463,1,0,1,0,1,1
unacc_464,1,0,1,0,1,2
unacc_465,1,0,1,0,2,0
unacc_466,1,0,1,0,2,1
unacc_467,1,0,1,0,2,2
unacc_468,1,0,1,1,0,0
unacc_469,1,0,1,1,0,1
unacc_470,1,0,1,1,0,2
unacc_471,1,0,1,1,1,0
unacc_472,1,0,1,1,1,1
unacc_473,1,0,1,1,1,2
unacc_474,1,0,1,1,2,0
unacc_475,1,0,1,1,2,1
unacc_476,1,0,1,1,2,2
unacc_477,1,0,1,2,0,0
unacc_478,1,0,1,2,0,1
unacc_479,1,0,1,2,0,2
unacc_480,1,0,1,2,1,0
unacc_481,1,0,1,2,1,1
unacc_482,1,0,1,2,1,2
unacc_483,1,0,1,2,2,0
unacc_484,1,0,1,2,2,1
unacc_485,1,0,1,2,2,2
unacc_486,1,0,2,0,0,0
unacc_487,1,0,2,0,0,1
unacc_488,1,0,2,0,0,2
unacc_489,1,0,2,0,1,0
unacc_490,1,0,2,0,1,1
unacc_491,1,0,2,0,1,2
unacc_492,1,0,2,0,2,0
unacc_493,1,0,2,0,2,1
unacc_494,1,0,2,0,2,2
unacc_495,1,0,2,1,0,0
unacc_496,1,0,2,1,0,1
unacc_497,1,0,2,1,0,2
unacc_498,1,0,2,1,1,0
unacc_499,1,0,2,1,1,1
unacc_500,1,0,2,1,1,2
unacc_501,1,0,2,1,2,0
unacc_502,1,0,2,1,2,1
unacc_503,1,0,2,1,2,2
unacc_504,1,0,2,2,0,0
unacc_505,1,0,2,2,0,1
unacc_506,1,0,2,2,0,2
unacc_507,1,0,2,2,1,0
unacc_508,1,0,2,2,1,1
unacc_509,1,0,2,2,1,2
unacc_510,1,0,2,2,2,0
unacc_511,1,0,2,2,2,1
unacc_512,1,0,2,2,2,2
unacc_513,1,0,3,0,0,0
unacc_514,1,0,3,0,0,1
unacc_515,1,0,3,0,0,2
unacc_516,1,0,3,0,1,0
unacc_517,1,0,3,0,1,1
unacc_518,1,0,3,0,1,2
unacc_519,1,0,3,0,2,0
unacc_520,1,0,3,0,2,1
unacc_521,1,0,3,0,2,2
unacc_522,1,0,3,1,0,0
unacc_523,1,0,3,1,0,1
unacc_524,1,0,3,1,0,2
unacc_525,1,0,3,1,1,0
unacc_526,1,0,3,1,1,1
unacc_527,1,0,3,1,1,2
unacc_528,1,0,3,1,2,0
unacc_529,1,0,3,1,2,1
unacc_530,1,0,3,1,2,2
unacc_531,1,0,3,2,0,0
unacc_532,1,0,3,2,0,1
unacc_533,1,0,3,2,0,2
unacc_534,1,0,3,2,1,0
unacc_535,1,0,3,2,1,1
unacc_536,1,0,3,2,1,2
unacc_537,1,0,3,2,2,0
unacc_538,1,0,3,2,2,1
unacc_539,1,0,3,2,2,2
unacc_540,1,1,0,0,0,0
unacc_541,1,1,0,0,0,1
unacc_542,1,1,0,0,0,2
unacc_543,1,1,0,0,1,0
unacc_544,1,1,0,0,1,1
unacc_545,1,1,0,0,1,2
unacc_546,1,1,0,0,2,0
unacc_547,1,1,0,0,2,1
unacc_548,1,1,0,0,2,2
unacc_549,1,1,0,1,0,0
unacc_550,1,1,0,1,0,1
acc_551,1,1,0,1,0,2
unacc_552,1,1,0,1,1,0
unacc_553,1,1,0,1,1,1
acc_554,1,1,0,1,1,2
unacc_555,1,1,0,1,2,0
acc_556,1,1,0,1,2,1
acc_557,1,1,0,1,2,2
unacc_558,1,1,0,2,0,0
unacc_559,1,1,0,2,0,1
unacc_560,1,1,0,2,0,2
unacc_561,1,1,0,2,1,0
unacc_562,1,1,0,2,1,1
acc_563,1,1,0,2,1,2
unacc_564,1,1,0,2,2,0
acc_565,1,1,0,2,2,1
acc_566,1,1,0,2,2,2
unacc_567,1,1,1,0,0,0
unacc_568,1,1,1,0,0,1
unacc_569,1,1,1,0,0,2
unacc_570,1,1,1,0,1,0
unacc_571,1,1,1,0,1,1
unacc_572,1,1,1,0,1,2
unacc_573,1,1,1,0,2,0
unacc_574,1,1,1,0,2,1
unacc_575,1,1,1,0,2,2
unacc_576,1,1,1,1,0,0
unacc_577,1,1,1,1,0,1
acc_578,1,1,1,1,0,2
unacc_579,1,1,1,1,1,0
unacc_580,1,1,1,1,1,1
acc_581,1,1,1,1,1,2
unacc_582,1,1,1,1,2,0
acc_583,1,1,1,1,2,1
acc_584,1,1,1,1,2,2
unacc_585,1,1,1,2,0,0
unacc_586,1,1,1,2,0,1
acc_587,1,1,1,2,0,2
unacc_588,1,1,1,2,1,0
acc_589,1,1,1,2,1,1
acc_590,1,1,1,2,1,2
unacc_591,1,1,1,2,2,0
acc_592,1,1,1,2,2,1
acc_593,1,1,1,2,2,2
unacc_594,1,1,2,0,0,0
unacc_595,1,1,2,0,0,1
unacc_596,1,1,2,0,0,2
unacc_597,1,1,2,0,1,0
unacc_598,1,1,2,0,1,1
unacc_599,1,1,2,0,1,2
unacc_600,1,1,2,0,2,0
unacc_601,1,1,2,0,2,1
unacc_602,1,1,2,0,2,2
unacc_603,1,1,2,1,0,0
unacc_604,1,1,2,1,0,1
acc_605,1,1,2,1,0,2
unacc_606,1,1,2,1,1,0
acc_607,1,1,2,1,1,1
acc_608,1,1,2,1,1,2
unacc_609,1,1,2,1,2,0
acc_610,1,1,2,1,2,1
acc_611,1,1,2,1,2,2
unacc_612,1,1,2,2,0,0
unacc_613,1,1,2,2,0,1
acc_614,1,1,2,2,0,2
unacc_615,1,1,2,2,1,0
acc_616,1,1,2,2,1,1
acc_617,1,1,2,2,1,2
unacc_618,1,1,2,2,2,0
acc_619,1,1,2,2,2,1
acc_620,1,1,2,2,2,2
unacc_621,1,1,3,0,0,0
unacc_622,1,1,3,0,0,1
unacc_623,1,1,3,0,0,2
unacc_624,1,1,3,0,1,0
unacc_625,1,1,3,0,1,1
unacc_626,1,1,3,0,1,2
unacc_627,1,1,3,0,2,0
unacc_628,1,1,3,0,2,1
unacc_629,1,1,3,0,2,2
unacc_630,1,1,3,1,0,0
unacc_631,1,1,3,1,0,1
acc_632,1,1,3,1,0,2
unacc_633,1,1,3,1,1,0
acc_634,1,1,3,1,1,1
acc_635,1,1,3,1,1,2
unacc_636,1,1,3,1,2,0
acc_637,1,1,3,1,2,1
acc_638,1,1,3,1,2,2
unacc_639,1,1,3,2,0,0
unacc_640,1,1,3,2,0,1
acc_641,1,1,3,2,0,2
unacc_642,1,1,3,2,1,0
acc_643,1,1,3,2,1,1
acc_644,1,1,3,2,1,2
unacc_645,1,1,3,2,2,0
acc_646,1,1,3,2,2,1
acc_647,1,1,3,2,2,2
unacc_648,1,2,0,0,0,0
unacc_649,1,2,0,0,0,1
unacc_650,1,2,0,0,0,2
unacc_651,1,2,0,0,1,0
unacc_652,1,2,0,0,1,1
unacc_653,1,2,0,0,1,2
unacc_654,1,2,0,0,2,0
unacc_655,1,2,0,0,2,1
unacc_656,1,2,0,0,2,2
unacc_657,1,2,0,1,0,0
unacc_658,1,2,0,1,0,1
acc_659,1,2,0,1,0,2
unacc_660,1,2,0,1,1,0
unacc_661,1,2,0,1,1,1
acc_662,1,2,0,1,1,2
unacc_663,1,2,0,1,2,0
acc_664,1,2,0,1,2,1
acc_665,1,2,0,1,2,2
unacc_666,1,2,0,2,0,0
unacc_667,1,2,0,2,0,1
unacc_668,1,2,0,2,0,2
unacc_669,1,2,0,2,1,0
unacc_670,1,2,0,2,1,1
acc_671,1,2,0,2,1,2
unacc_672,1,2,0,2,2,0
acc_673,1,2,0,2,2,1
acc_674,1,2,0,2,2,2
unacc_675,1,2,1,0,0,0
unacc_676,1,2,1,0,0,1
unacc_677,1,2,1,0,0,2
unacc_678,1,2,1,0,1,0
unacc_679,1,2,1,0,1,1
unacc_680,1,2,1,0,1,2
unacc_681,1,2,1,0,2,0
unacc_682,1,2,1,0,2,1
unacc_683,1,2,1,0,2,2
unacc_684,1,2,1,1,0,0
unacc_685,1,2,1,1,0,1
acc_686,1,2,1,1,0,2
unacc_687,1,2,1,1,1,0
unacc_688,1,2,1,1,1,1
acc_689,1,2,1,1,1,2
unacc_690,1,2,1,1,2,0
acc_691,1,2,1,1,2,1
acc_692,1,2,1,1,2,2
unacc_693,1,2,1,2,0,0
unacc_694,1,2,1,2,0,1
acc_695,1,2,1,2,0,2
unacc_696,1,2,1,2,1,0
acc_697,1,2,1,2,1,1
acc_698,1,2,1,2,1,2
unacc_699,1,2,1,2,2,0
acc_700,1,2,1,2,2,1
acc_701,1,2,1,2,2,2
unacc_702,1,2,2,0,0,0
unacc_703,1,2,2,0,0,1
unacc_704,1,2,2,0,0,2
unacc_705,1,2,2,0,1,0
unacc_706,1,2,2,0,1,1
unacc_707,1,2,2,0,1,2
unacc_708,1,2,2,0,2,0
unacc_709,1,2,2,0,2,1
unacc_710,1,2,2,0,2,2
unacc_711,1,2,2,1,0,0
unacc_712,1,2,2,1,0,1
acc_713,1,2,2,1,0,2
unacc_714,1,2,2,1,1,0
acc_715,1,2,2,1,1,1
acc_716,1,2,2,1,1,2
unacc_717,1,2,2,1,2,0
acc_718,1,2,2,1,2,1
acc_719,1,2,2,1,2,2
unacc_720,1,2,2,2,0,0
unacc_721,1,2,2,2,0,1
acc_722,1,2,2,2,0,2
unacc_723,1,2,2,2,1,0
acc_724,1,2,2,2,1,1
acc_725,1,2,2,2,1,2
unacc_726,1,2,2,2,2,0
acc_727,1,2,2,2,2,1
acc_728,1,2,2,2,2,2
unacc_729,1,2,3,0,0,0
unacc_730,1,2,3,0,0,1
unacc_731,1,2,3,0,0,2
unacc_732,1,2,3,0,1,0
unacc_733,1,2,3,0,1,1
unacc_734,1,2,3,0,1,2
unacc_735,1,2,3,0,2,0
unacc_736,1,2,3,0,2,1
unacc_737,1,2,3,0,2,2
unacc_738,1,2,3,1,0,0
unacc_739,1,2,3,1,0,1
acc_740,1,2,3,1,0,2
unacc_741,1,2,3,1,1,0
acc_742,1,2,3,1,1,1
acc_743,1,2,3,1,1,2
unacc_744,1,2,3,1,2,0
acc_745,1,2,3,1,2,1
acc_746,1,2,3,1,2,2
unacc_747,1,2,3,2,0,0
unacc_748,1,2,3,2,0,1
acc_749,1,2,3,2,0,2
unacc_750,1,2,3,2,1,0
acc_751,1,2,3,2,1,1
acc_752,1,2,3,2,1,2
unacc_753,1,2,3,2,2,0
acc_754,1,2,3,2,2,1
acc_755,1,2,3,2,2,2
unacc_756,1,3,0,0,0,0
unacc_757,1,3,0,0,0,1
unacc_758,1,3,0,0,0,2
unacc_759,1,3,0,0,1,0
unacc_760,1,3,0,0,1,1
unacc_761,1,3,0,0,1,2
unacc_762,1,3,0,0,2,0
unacc_763,1,3,0,0,2,1
unacc_764,1,3,0,0,2,2
unacc_765,1,3,0,1,0,0
unacc_766,1,3,0,1,0,1
acc_767,1,3,0,1,0,2
unacc_768,1,3,0,1,1,0
unacc_769,1,3,0,1,1,1
acc_770,1,3,0,1,1,2
unacc_771,1,3,0,1,2,0
acc_772,1,3,0,1,2,1
acc_773,1,3,0,1,2,2
unacc_774,1,3,0,2,0,0
unacc_775,1,3,0,2,0,1
unacc_776,1,3,0,2,0,2
unacc_777,1,3,0,2,1,0
unacc_778,1,3,0,2,1,1
acc_779,1,3,0,2,1,2
unacc_780,1,3,0,2,2,0
acc_781,1,3,0,2,2,1
acc_782,1,3,0,2,2,2
