target,handicapped-infants,water-project,budget-resolution,physician-fee,el-salvador-aid,religious-groups,anti-satellite,nicaraguan-contras,mx-missile,immigration,synfuels-cutback,education-spending,superfund-right-to-sue,crime,duty-free,south-africa
democrat_37,2,1,1,2,2,1,1,1,1,1,1,1,2,1,0,0
democrat_38,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,0
democrat_39,2,0,1,2,2,1,1,1,1,1,2,1,2,1,0,1
democrat_40,2,0,1,2,2,1,1,1,2,1,2,1,2,1,1,1
democrat_41,2,0,1,2,2,1,1,1,1,1,1,1,2,1,0,0
democrat_42,2,1,1,2,2,1,1,1,2,1,1,1,2,1,0,1
democrat_43,2,0,1,2,2,1,1,1,0,1,1,1,2,0,0,0
republican_44,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2
republican_45,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
republican_46,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
democrat_47,2,0,1,2,2,0,2,1,0,1,2,0,2,0,0,1
republican_48,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
republican_49,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
republican_50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
republican_51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
democrat_52,2,0,1,2,2,2,1,1,1,0,1,1,2,1,1,1
democrat_53,2,0,1,2,2,1,1,1,1,1,1,1,2,1,0,1
democrat_54,2,0,1,2,2,1,1,1,1,1,2,1,2,1,0,0
democrat_55,2,0,1,2,2,1,1,1,1,1,2,2,2,1,0,0
republican_56,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
republican_57,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
democrat_58,2,1,1,2,2,1,1,1,1,1,1,1,0,1,1,1
republican_59,2,0,1,0,2,1,1,1,1,0,2,1,2,0,0,0
republican_60,2,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0
democrat_61,2,1,1,2,2,0,1,1,1,0,2,1,2,0,1,0
democrat_62,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2
democrat_63,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1
democrat_64,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0
democrat_65,2,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0
republican_66,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
democrat_67,2,1,1,2,2,0,1,1,1,0,1,0,2,0,0,1
democrat_68,2,1,1,2,2,1,1,1,2,0,2,0,2,0,0,0
republican_69,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
republican_70,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
republican_71,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2
democrat_72,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0
republican_73,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
democrat_74,0,0,1,2,0,0,1,0,1,0,2,1,0,0,0,0
republican_75,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1
democrat_76,2,1,1,2,2,1,1,1,1,0,2,1,2,1,1,0
democrat_77,2,0,1,2,2,1,1,1,0,0,2,1,2,2,1,0
democrat_78,2,1,1,2,2,1,1,0,1,0,2,1,2,1,1,0
democrat_79,2,1,1,2,0,0,0,0,0,1,1,1,2,1,0,0
democrat_80,2,1,1,2,0,0,0,2,2,1,2,2,1,2,1,0
democrat_81,0,1,2,2,0,0,0,0,0,1,2,0,0,0,0,0
democrat_82,2,1,0,2,0,0,1,0,0,0,2,1,2,0,0,0
democrat_83,2,0,1,2,2,0,1,1,1,0,1,1,2,1,0,0
republican_84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
democrat_85,2,1,0,2,0,0,0,0,0,1,2,0,2,0,0,0
democrat_86,2,1,1,2,0,0,1,0,0,1,2,1,2,0,0,0
democrat_87,2,1,1,2,0,0,1,0,2,1,2,1,0,0,1,1
democrat_88,2,1,0,2,0,0,2,0,2,1,1,1,2,0,2,2
democrat_89,1,2,2,1,2,0,1,1,1,0,0,1,0,0,0,1
democrat_90,2,0,1,2,2,1,0,1,1,1,2,1,2,1,1,0
republican_91,0,2,2,1,1,2,2,2,2,2,0,2,1,0,2,1
democrat_92,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1
democrat_93,0,1,1,2,2,1,1,1,1,0,1,1,2,1,1,0
republican_94,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
democrat_95,0,2,1,2,2,0,1,1,0,0,1,1,2,1,1,1
democrat_96,0,2,1,2,1,2,1,1,1,0,0,2,2,1,1,0
republican_97,2,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
democrat_98,0,0,1,2,2,1,0,1,1,0,2,1,2,1,1,0
republican_99,0,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0
republican_100,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0
republican_101,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0
democrat_102,0,2,1,2,2,1,1,1,1,1,1,1,2,1,1,0
democrat_103,0,2,1,2,2,1,1,1,1,0,2,1,2,0,1,0
democrat_104,0,2,1,2,2,0,0,1,0,0,2,1,2,1,1,0
democrat_105,1,2,1,2,2,1,1,1,2,1,0,2,1,2,2,1
democrat_106,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1
democrat_107,0,1,1,2,2,0,0,1,1,0,1,1,2,0,0,0
republican_108,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
republican_109,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
republican_110,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
democrat_111,0,2,1,2,2,0,1,1,1,0,1,1,2,0,1,0
democrat_112,0,1,1,2,2,0,1,1,1,0,1,1,2,0,0,0
democrat_113,2,1,1,2,2,0,1,1,1,1,1,1,2,1,1,0
republican_114,0,1,0,0,2,1,1,1,1,0,1,1,0,0,0,0
republican_115,0,1,0,0,0,0,1,1,1,0,1,0,0,0,2,0
republican_116,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
democrat_117,1,0,0,2,2,1,1,1,1,0,2,1,2,0,1,0
democrat_118,0,2,0,2,2,0,1,1,1,0,1,1,2,0,0,1
democrat_119,0,1,1,2,2,0,1,1,1,0,1,1,2,0,2,0
democrat_120,0,1,0,2,2,1,1,1,1,0,1,0,0,0,1,0
democrat_121,0,1,1,2,2,1,1,1,1,0,1,1,0,1,1,0
republican_122,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
democrat_123,2,0,2,0,0,0,0,0,1,1,2,2,0,0,0,2
democrat_124,0,0,1,2,2,0,0,1,1,0,2,1,0,1,1,0
democrat_125,0,1,1,2,2,0,1,1,1,0,2,1,0,0,0,0
republican_126,2,0,0,0,0,0,0,2,0,1,2,0,0,0,0,2
republican_127,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2
democrat_128,0,0,1,2,2,0,0,1,1,1,2,1,1,2,2,1
democrat_129,0,0,1,2,1,0,1,1,1,0,2,1,2,2,0,1
democrat_130,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0
democrat_131,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0
democrat_132,0,0,1,2,0,0,1,0,0,1,2,0,0,0,0,0
republican_133,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
democrat_134,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1
democrat_135,0,0,1,2,2,0,1,1,1,0,2,1,0,1,1,1
republican_136,2,1,1,0,0,0,1,1,0,0,1,0,2,0,1,0
republican_137,2,1,1,0,0,0,1,1,0,0,2,0,2,0,1,0
democrat_138,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1
democrat_139,2,1,1,2,2,1,1,1,1,0,2,1,2,0,0,0
democrat_140,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1
democrat_141,0,0,1,2,2,1,1,1,1,0,1,1,1,1,1,0
democrat_142,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0
democrat_143,0,0,1,2,2,1,1,1,1,0,1,1,2,1,1,0
republican_144,0,1,1,0,2,1,1,1,1,0,1,1,2,0,1,0
democrat_145,0,1,1,2,2,1,1,1,1,0,2,2,2,1,1,0
democrat_146,1,1,1,2,2,1,1,1,1,0,2,2,2,1,1,1
democrat_147,1,2,1,2,2,1,1,1,1,2,0,1,2,1,2,1
democrat_148,0,1,1,2,2,1,1,1,1,0,2,1,2,1,1,0
democrat_149,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,0
democrat_150,1,2,2,1,1,2,2,2,1,2,0,2,1,2,2,1
democrat_151,2,1,1,2,2,1,1,1,1,0,1,2,2,1,1,0
democrat_152,0,0,1,2,2,1,1,1,1,0,2,1,2,1,1,0
republican_153,2,2,0,0,0,0,1,1,0,1,1,0,1,0,2,1
republican_154,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1
republican_155,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1
democrat_156,0,1,0,2,2,0,1,1,1,1,2,1,2,0,1,0
democrat_157,0,1,1,2,2,1,1,1,1,1,1,1,2,1,1,0
democrat_158,0,1,1,2,2,0,1,2,1,0,2,1,2,1,1,0
democrat_159,0,1,1,2,2,0,1,1,1,1,2,0,2,0,1,1
republican_160,0,2,1,0,0,0,0,0,0,0,1,1,2,0,0,0
democrat_161,0,1,1,2,2,1,1,1,1,0,2,1,1,1,1,1
democrat_162,2,0,0,2,2,1,1,1,2,1,2,1,2,1,1,1
democrat_163,0,1,1,2,2,1,1,1,1,1,1,1,2,0,1,0
democrat_164,2,1,1,2,2,0,1,1,1,0,2,1,2,1,1,0
republican_165,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
democrat_166,0,1,1,2,2,0,1,1,1,0,1,0,2,1,0,0
republican_167,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
democrat_168,0,1,1,2,2,1,1,1,1,1,1,2,2,1,1,0
democrat_169,2,0,1,2,2,1,1,1,1,0,2,1,2,1,0,0
democrat_170,0,1,1,2,2,0,1,1,1,1,1,1,2,1,1,0
democrat_171,0,1,1,2,2,1,1,1,1,1,2,1,2,1,1,0
democrat_172,0,0,1,2,2,0,0,1,1,1,2,1,0,1,1,0
democrat_173,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1
democrat_174,2,0,1,2,0,0,0,0,2,0,1,1,2,0,1,1
democrat_175,2,2,1,2,2,1,1,1,1,1,0,1,2,1,1,1
democrat_176,0,0,1,2,2,1,0,1,1,1,2,1,2,0,1,0
democrat_177,0,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1
democrat_178,0,0,1,2,0,0,0,0,0,1,2,1,2,1,1,1
democrat_179,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1
republican_180,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
republican_181,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
republican_182,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
democrat_183,0,1,1,2,2,0,1,1,1,1,2,1,2,0,1,0
democrat_184,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,0
republican_185,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0
republican_186,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
republican_187,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
democrat_188,0,0,1,2,2,1,1,1,0,1,2,1,2,1,1,1
democrat_189,0,1,1,2,2,0,1,1,1,0,1,0,2,0,1,1
democrat_190,2,1,1,2,2,0,1,1,0,1,1,0,0,1,0,0
democrat_191,2,0,1,2,2,1,1,1,2,0,1,1,2,1,1,1
republican_192,0,1,0,0,0,0,1,0,0,0,1,1,2,0,1,0
republican_193,0,1,0,0,2,0,1,2,1,1,1,0,0,0,0,0
democrat_194,2,1,1,2,2,1,1,1,1,0,2,1,2,0,1,0
republican_195,0,1,0,2,0,0,1,0,0,1,1,2,2,0,1,0
democrat_196,0,0,1,2,2,1,1,1,2,0,1,1,0,1,1,0
democrat_197,2,1,1,2,2,1,0,1,1,0,1,1,2,1,1,0
democrat_198,0,1,1,2,0,1,1,1,1,1,1,1,2,0,2,0
republican_199,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,2
republican_200,1,2,2,1,1,2,2,2,2,2,0,2,1,2,2,1
democrat_201,2,1,1,2,2,1,1,1,2,1,2,1,2,1,1,0
democrat_202,2,0,1,2,2,0,1,1,1,1,1,1,2,1,1,0
democrat_203,2,1,1,2,2,1,1,1,1,0,1,1,2,1,0,0
democrat_204,2,1,1,2,2,1,1,1,1,0,1,1,2,0,1,0
republican_205,0,1,0,0,0,1,0,0,0,1,1,0,2,0,0,2
republican_206,0,1,0,0,0,1,0,0,0,1,1,0,2,0,2,0
democrat_207,2,1,1,2,2,2,1,1,1,1,0,2,2,2,2,1
democrat_208,2,1,1,2,2,1,1,1,1,0,1,1,1,1,1,0
republican_209,2,1,0,2,2,1,1,1,1,0,1,1,2,0,0,0
democrat_210,0,0,1,2,2,0,1,1,1,1,0,1,2,1,0,0
democrat_211,2,1,1,2,2,1,1,1,1,0,1,1,2,1,1,1
republican_212,0,1,0,0,0,1,1,1,0,0,1,0,0,0,2,0
republican_213,2,1,0,0,0,1,1,0,0,0,1,1,2,0,1,0
democrat_214,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,2
republican_215,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2
republican_216,0,1,1,0,0,0,1,1,0,0,1,1,2,0,0,0
republican_217,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
democrat_218,0,1,1,2,2,1,1,1,1,0,1,1,2,0,0,0
republican_219,2,1,1,0,0,0,1,1,0,1,1,1,2,0,0,1
republican_220,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2
democrat_221,0,1,1,2,2,0,1,1,1,0,2,1,2,1,2,0
democrat_222,0,1,1,2,2,0,1,1,1,0,2,1,2,1,1,0
democrat_223,0,1,1,2,2,0,2,1,2,0,2,0,2,0,1,1
democrat_224,2,0,1,1,2,0,1,1,1,1,2,1,0,1,2,0
democrat_225,2,0,1,2,0,0,0,1,0,0,2,1,0,0,1,0
democrat_226,2,0,1,2,0,0,0,1,0,0,2,1,0,0,0,1
democrat_227,2,1,1,2,1,0,2,1,1,0,1,1,0,0,0,0
democrat_228,2,1,1,2,2,0,1,1,1,0,1,2,2,0,0,0
democrat_229,2,1,1,2,2,0,1,1,0,0,2,1,0,0,1,0
democrat_230,2,0,1,2,2,0,1,1,1,0,2,1,0,0,1,0
democrat_231,0,0,1,2,2,0,1,1,0,0,2,1,0,0,0,1
republican_232,0,0,0,0,0,0,2,2,0,0,1,0,1,2,2,1
republican_233,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
democrat_234,2,0,1,2,2,0,1,1,1,0,1,1,1,1,1,1
democrat_235,0,0,0,2,2,1,1,1,1,0,2,1,2,1,1,0
democrat_236,0,0,1,2,2,0,1,1,1,0,1,1,0,0,1,0
republican_237,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0
democrat_238,0,1,2,2,2,0,1,1,1,1,1,1,2,1,1,0
republican_239,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
democrat_240,2,1,1,2,2,0,1,1,1,1,1,1,2,0,0,1
democrat_241,2,1,0,2,2,0,1,1,1,0,1,1,2,0,1,0
republican_242,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2
democrat_243,0,1,1,2,2,0,1,1,1,0,1,1,0,1,0,0
democrat_244,2,0,1,2,2,1,1,1,1,0,1,1,2,1,1,0
republican_245,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
republican_246,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0
republican_247,0,0,1,0,0,0,1,2,0,1,1,1,1,2,1,1
democrat_248,0,1,0,2,2,0,0,1,1,1,2,0,0,0,1,2
democrat_249,2,1,0,2,2,1,1,1,1,0,1,1,2,1,1,0
democrat_250,0,0,1,2,2,0,0,1,1,0,1,1,0,0,0,0
democrat_251,2,0,1,2,2,1,1,1,1,0,1,1,0,1,0,0
democrat_252,2,0,1,2,1,0,0,2,0,1,2,1,0,0,0,1
democrat_253,2,0,1,2,0,0,0,1,2,0,1,1,0,0,0,1
republican_254,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2
democrat_255,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0
democrat_256,2,0,0,0,2,1,1,1,1,1,2,1,2,0,0,0
democrat_257,2,2,1,2,2,0,1,1,1,0,1,1,2,1,1,1
democrat_258,0,0,1,2,2,0,1,1,2,1,2,0,2,1,1,0
republican_259,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
democrat_260,0,1,1,2,2,0,1,1,0,1,2,1,2,0,2,0
republican_261,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2
republican_262,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0
democrat_263,0,2,1,1,2,0,1,1,1,0,2,1,1,2,1,0
democrat_264,0,0,1,2,0,2,1,0,0,0,2,1,0,1,1,0
republican_265,0,1,0,0,0,1,1,0,1,0,1,1,2,0,0,0
republican_266,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,0
republican_267,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
democrat_268,2,1,1,2,2,1,1,1,1,0,1,0,2,1,1,1
republican_269,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0
democrat_270,0,0,0,2,2,0,1,0,1,1,2,1,2,1,1,0
republican_271,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0
democrat_272,0,0,0,0,2,0,1,1,1,1,2,1,0,1,1,1
republican_273,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0
democrat_274,0,0,1,2,2,0,1,1,1,0,1,2,2,1,1,0
republican_275,2,1,1,0,2,1,0,1,1,0,1,1,2,0,1,0
democrat_276,2,0,1,2,2,0,1,1,1,0,2,0,0,0,0,1
republican_277,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
democrat_278,2,1,1,2,2,0,1,1,1,0,1,1,0,1,0,0
democrat_279,2,1,1,2,0,0,1,0,1,0,1,1,0,0,0,1
democrat_280,2,0,1,2,2,0,1,1,1,0,2,0,0,1,0,0
republican_281,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2
republican_282,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
democrat_283,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,2
democrat_284,2,1,1,2,2,1,1,1,0,0,2,1,2,1,0,1
democrat_285,2,0,1,2,0,0,1,1,0,0,2,1,2,1,1,1
democrat_286,0,0,1,2,2,0,1,1,0,0,1,1,2,1,1,0
republican_287,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
democrat_288,2,0,1,2,1,0,1,1,0,0,0,2,2,1,1,0
democrat_289,2,0,1,2,1,1,1,1,1,0,1,1,2,1,1,1
democrat_290,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,2
democrat_291,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0
democrat_292,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,2
democrat_293,2,2,1,2,2,1,1,1,1,1,2,1,2,1,1,0
republican_294,0,0,0,0,0,0,2,2,0,1,0,2,0,2,2,1
democrat_295,2,0,1,2,2,0,2,1,1,1,2,1,0,1,1,0
democrat_296,2,0,1,2,0,0,1,1,1,0,2,1,0,0,0,1
democrat_297,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1
democrat_298,2,0,1,2,0,0,0,1,1,0,2,1,2,1,0,0
democrat_299,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0
democrat_300,2,0,0,2,0,0,0,0,0,1,2,0,0,0,1,2
democrat_301,0,2,1,2,0,0,0,1,0,1,2,1,2,1,0,1
democrat_302,2,0,1,2,0,0,0,1,1,1,2,1,2,0,0,1
democrat_303,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
democrat_304,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1
democrat_305,1,2,0,2,1,0,2,0,0,1,2,0,2,0,0,1
democrat_306,2,0,0,2,2,1,0,1,1,1,2,1,2,1,1,2
republican_307,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
republican_308,1,2,2,1,2,0,0,1,1,1,1,0,0,1,0,1
democrat_309,2,0,2,1,1,0,0,0,0,1,2,1,0,1,0,0
democrat_310,2,0,1,1,2,1,0,1,0,1,2,2,2,1,1,0
democrat_311,2,0,1,2,0,0,0,1,0,1,2,1,0,1,1,0
democrat_312,2,0,0,2,0,2,0,0,0,1,2,1,0,0,0,0
democrat_313,0,0,1,2,0,0,0,1,0,1,1,1,2,1,0,0
republican_314,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
republican_315,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,1
republican_316,1,1,1,0,2,0,1,1,1,0,1,0,2,0,0,0
republican_317,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
democrat_318,2,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0
democrat_319,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2
democrat_320,2,1,1,2,2,0,1,1,1,1,1,0,1,0,1,0
republican_321,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
democrat_322,2,1,1,2,2,0,1,1,1,0,2,1,2,1,0,0
republican_323,2,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0
democrat_324,0,0,1,2,2,0,1,1,2,0,1,1,2,1,0,0
republican_325,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
democrat_326,2,0,1,2,2,1,1,1,1,0,2,1,0,1,0,0
democrat_327,2,0,1,2,2,1,1,1,0,0,1,1,2,1,0,0
republican_328,2,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
democrat_329,0,0,1,2,0,0,1,1,0,1,2,1,0,1,1,0
democrat_330,0,1,1,2,2,0,1,1,1,1,2,1,2,1,1,0
democrat_331,0,0,1,2,2,0,1,1,1,1,2,1,2,0,1,0
democrat_332,0,0,1,2,2,2,1,1,1,0,2,1,1,0,1,0
democrat_333,0,1,1,2,2,1,1,1,0,0,2,1,2,1,1,1
republican_334,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
democrat_335,1,2,2,2,2,1,1,1,1,0,1,1,0,1,1,0
democrat_336,2,1,1,2,1,1,1,1,1,0,1,0,2,2,1,0
republican_337,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
democrat_338,0,1,1,2,2,1,1,1,1,0,1,1,2,1,0,0
republican_339,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0
republican_340,0,1,0,0,0,0,2,2,2,2,1,0,0,0,0,0
republican_341,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2
