target,parents,has_nurs,form,children,housing,finance,social,health
priority_325,0,0,1,2,0,0,0,1
not_recom_326,0,0,1,2,0,0,0,2
very_recom_327,0,0,1,2,0,0,1,0
priority_328,0,0,1,2,0,0,1,1
not_recom_329,0,0,1,2,0,0,1,2
priority_330,0,0,1,2,0,0,2,0
priority_331,0,0,1,2,0,0,2,1
not_recom_332,0,0,1,2,0,0,2,2
priority_333,0,0,1,2,0,1,0,0
priority_334,0,0,1,2,0,1,0,1
not_recom_335,0,0,1,2,0,1,0,2
priority_336,0,0,1,2,0,1,1,0
priority_337,0,0,1,2,0,1,1,1
not_recom_338,0,0,1,2,0,1,1,2
priority_339,0,0,1,2,0,1,2,0
priority_340,0,0,1,2,0,1,2,1
not_recom_341,0,0,1,2,0,1,2,2
priority_342,0,0,1,2,1,0,0,0
priority_343,0,0,1,2,1,0,0,1
not_recom_344,0,0,1,2,1,0,0,2
priority_345,0,0,1,2,1,0,1,0
priority_346,0,0,1,2,1,0,1,1
not_recom_347,0,0,1,2,1,0,1,2
priority_348,0,0,1,2,1,0,2,0
priority_349,0,0,1,2,1,0,2,1
not_recom_350,0,0,1,2,1,0,2,2
priority_351,0,0,1,2,1,1,0,0
priority_352,0,0,1,2,1,1,0,1
not_recom_353,0,0,1,2,1,1,0,2
priority_354,0,0,1,2,1,1,1,0
priority_355,0,0,1,2,1,1,1,1
not_recom_356,0,0,1,2,1,1,1,2
priority_357,0,0,1,2,1,1,2,0
priority_358,0,0,1,2,1,1,2,1
not_recom_359,0,0,1,2,1,1,2,2
priority_360,0,0,1,2,2,0,0,0
priority_361,0,0,1,2,2,0,0,1
not_recom_362,0,0,1,2,2,0,0,2
priority_363,0,0,1,2,2,0,1,0
priority_364,0,0,1,2,2,0,1,1
not_recom_365,0,0,1,2,2,0,1,2
priority_366,0,0,1,2,2,0,2,0
priority_367,0,0,1,2,2,0,2,1
not_recom_368,0,0,1,2,2,0,2,2
priority_369,0,0,1,2,2,1,0,0
priority_370,0,0,1,2,2,1,0,1
not_recom_371,0,0,1,2,2,1,0,2
priority_372,0,0,1,2,2,1,1,0
priority_373,0,0,1,2,2,1,1,1
not_recom_374,0,0,1,2,2,1,1,2
priority_375,0,0,1,2,2,1,2,0
priority_376,0,0,1,2,2,1,2,1
not_recom_377,0,0,1,2,2,1,2,2
very_recom_378,0,0,1,3,0,0,0,0
priority_379,0,0,1,3,0,0,0,1
not_recom_380,0,0,1,3,0,0,0,2
very_recom_381,0,0,1,3,0,0,1,0
priority_382,0,0,1,3,0,0,1,1
not_recom_383,0,0,1,3,0,0,1,2
priority_384,0,0,1,3,0,0,2,0
priority_385,0,0,1,3,0,0,2,1
not_recom_386,0,0,1,3,0,0,2,2
priority_387,0,0,1,3,0,1,0,0
priority_388,0,0,1,3,0,1,0,1
not_recom_389,0,0,1,3,0,1,0,2
priority_390,0,0,1,3,0,1,1,0
priority_391,0,0,1,3,0,1,1,1
not_recom_392,0,0,1,3,0,1,1,2
priority_393,0,0,1,3,0,1,2,0
priority_394,0,0,1,3,0,1,2,1
not_recom_395,0,0,1,3,0,1,2,2
priority_396,0,0,1,3,1,0,0,0
priority_397,0,0,1,3,1,0,0,1
not_recom_398,0,0,1,3,1,0,0,2
priority_399,0,0,1,3,1,0,1,0
priority_400,0,0,1,3,1,0,1,1
not_recom_401,0,0,1,3,1,0,1,2
priority_402,0,0,1,3,1,0,2,0
priority_403,0,0,1,3,1,0,2,1
not_recom_404,0,0,1,3,1,0,2,2
priority_405,0,0,1,3,1,1,0,0
priority_406,0,0,1,3,1,1,0,1
not_recom_407,0,0,1,3,1,1,0,2
priority_408,0,0,1,3,1,1,1,0
priority_409,0,0,1,3,1,1,1,1
not_recom_410,0,0,1,3,1,1,1,2
priority_411,0,0,1,3,1,1,2,0
priority_412,0,0,1,3,1,1,2,1
not_recom_413,0,0,1,3,1,1,2,2
priority_414,0,0,1,3,2,0,0,0
priority_415,0,0,1,3,2,0,0,1
not_recom_416,0,0,1,3,2,0,0,2
priority_417,0,0,1,3,2,0,1,0
priority_418,0,0,1,3,2,0,1,1
not_recom_419,0,0,1,3,2,0,1,2
priority_420,0,0,1,3,2,0,2,0
priority_421,0,0,1,3,2,0,2,1
not_recom_422,0,0,1,3,2,0,2,2
priority_423,0,0,1,3,2,1,0,0
priority_424,0,0,1,3,2,1,0,1
not_recom_425,0,0,1,3,2,1,0,2
priority_426,0,0,1,3,2,1,1,0
priority_427,0,0,1,3,2,1,1,1
not_recom_428,0,0,1,3,2,1,1,2
priority_429,0,0,1,3,2,1,2,0
priority_430,0,0,1,3,2,1,2,1
not_recom_431,0,0,1,3,2,1,2,2
very_recom_432,0,0,2,0,0,0,0,0
priority_433,0,0,2,0,0,0,0,1
not_recom_434,0,0,2,0,0,0,0,2
very_recom_435,0,0,2,0,0,0,1,0
priority_436,0,0,2,0,0,0,1,1
not_recom_437,0,0,2,0,0,0,1,2
priority_438,0,0,2,0,0,0,2,0
priority_439,0,0,2,0,0,0,2,1
not_recom_440,0,0,2,0,0,0,2,2
very_recom_441,0,0,2,0,0,1,0,0
priority_442,0,0,2,0,0,1,0,1
not_recom_443,0,0,2,0,0,1,0,2
very_recom_444,0,0,2,0,0,1,1,0
priority_445,0,0,2,0,0,1,1,1
not_recom_446,0,0,2,0,0,1,1,2
priority_447,0,0,2,0,0,1,2,0
priority_448,0,0,2,0,0,1,2,1
not_recom_449,0,0,2,0,0,1,2,2
very_recom_450,0,0,2,0,1,0,0,0
priority_451,0,0,2,0,1,0,0,1
not_recom_452,0,0,2,0,1,0,0,2
very_recom_453,0,0,2,0,1,0,1,0
priority_454,0,0,2,0,1,0,1,1
not_recom_455,0,0,2,0,1,0,1,2
priority_456,0,0,2,0,1,0,2,0
priority_457,0,0,2,0,1,0,2,1
not_recom_458,0,0,2,0,1,0,2,2
very_recom_459,0,0,2,0,1,1,0,0
priority_460,0,0,2,0,1,1,0,1
not_recom_461,0,0,2,0,1,1,0,2
very_recom_462,0,0,2,0,1,1,1,0
priority_463,0,0,2,0,1,1,1,1
not_recom_464,0,0,2,0,1,1,1,2
priority_465,0,0,2,0,1,1,2,0
priority_466,0,0,2,0,1,1,2,1
not_recom_467,0,0,2,0,1,1,2,2
priority_468,0,0,2,0,2,0,0,0
priority_469,0,0,2,0,2,0,0,1
not_recom_470,0,0,2,0,2,0,0,2
priority_471,0,0,2,0,2,0,1,0
priority_472,0,0,2,0,2,0,1,1
not_recom_473,0,0,2,0,2,0,1,2
priority_474,0,0,2,0,2,0,2,0
priority_475,0,0,2,0,2,0,2,1
not_recom_476,0,0,2,0,2,0,2,2
priority_477,0,0,2,0,2,1,0,0
priority_478,0,0,2,0,2,1,0,1
not_recom_479,0,0,2,0,2,1,0,2
priority_480,0,0,2,0,2,1,1,0
priority_481,0,0,2,0,2,1,1,1
not_recom_482,0,0,2,0,2,1,1,2
priority_483,0,0,2,0,2,1,2,0
priority_484,0,0,2,0,2,1,2,1
not_recom_485,0,0,2,0,2,1,2,2
very_recom_486,0,0,2,1,0,0,0,0
priority_487,0,0,2,1,0,0,0,1
not_recom_488,0,0,2,1,0,0,0,2
very_recom_489,0,0,2,1,0,0,1,0
priority_490,0,0,2,1,0,0,1,1
not_recom_491,0,0,2,1,0,0,1,2
priority_492,0,0,2,1,0,0,2,0
priority_493,0,0,2,1,0,0,2,1
not_recom_494,0,0,2,1,0,0,2,2
priority_495,0,0,2,1,0,1,0,0
priority_496,0,0,2,1,0,1,0,1
not_recom_497,0,0,2,1,0,1,0,2
priority_498,0,0,2,1,0,1,1,0
priority_499,0,0,2,1,0,1,1,1
not_recom_500,0,0,2,1,0,1,1,2
priority_501,0,0,2,1,0,1,2,0
priority_502,0,0,2,1,0,1,2,1
not_recom_503,0,0,2,1,0,1,2,2
priority_504,0,0,2,1,1,0,0,0
priority_505,0,0,2,1,1,0,0,1
not_recom_506,0,0,2,1,1,0,0,2
priority_507,0,0,2,1,1,0,1,0
priority_508,0,0,2,1,1,0,1,1
not_recom_509,0,0,2,1,1,0,1,2
priority_510,0,0,2,1,1,0,2,0
priority_511,0,0,2,1,1,0,2,1
not_recom_512,0,0,2,1,1,0,2,2
priority_513,0,0,2,1,1,1,0,0
priority_514,0,0,2,1,1,1,0,1
not_recom_515,0,0,2,1,1,1,0,2
priority_516,0,0,2,1,1,1,1,0
priority_517,0,0,2,1,1,1,1,1
not_recom_518,0,0,2,1,1,1,1,2
priority_519,0,0,2,1,1,1,2,0
priority_520,0,0,2,1,1,1,2,1
not_recom_521,0,0,2,1,1,1,2,2
priority_522,0,0,2,1,2,0,0,0
priority_523,0,0,2,1,2,0,0,1
not_recom_524,0,0,2,1,2,0,0,2
priority_525,0,0,2,1,2,0,1,0
priority_526,0,0,2,1,2,0,1,1
not_recom_527,0,0,2,1,2,0,1,2
priority_528,0,0,2,1,2,0,2,0
priority_529,0,0,2,1,2,0,2,1
not_recom_530,0,0,2,1,2,0,2,2
priority_531,0,0,2,1,2,1,0,0
priority_532,0,0,2,1,2,1,0,1
not_recom_533,0,0,2,1,2,1,0,2
priority_534,0,0,2,1,2,1,1,0
priority_535,0,0,2,1,2,1,1,1
not_recom_536,0,0,2,1,2,1,1,2
priority_537,0,0,2,1,2,1,2,0
priority_538,0,0,2,1,2,1,2,1
not_recom_539,0,0,2,1,2,1,2,2
very_recom_540,0,0,2,2,0,0,0,0
priority_541,0,0,2,2,0,0,0,1
not_recom_542,0,0,2,2,0,0,0,2
very_recom_543,0,0,2,2,0,0,1,0
priority_544,0,0,2,2,0,0,1,1
not_recom_545,0,0,2,2,0,0,1,2
priority_546,0,0,2,2,0,0,2,0
priority_547,0,0,2,2,0,0,2,1
not_recom_548,0,0,2,2,0,0,2,2
priority_549,0,0,2,2,0,1,0,0
priority_550,0,0,2,2,0,1,0,1
not_recom_551,0,0,2,2,0,1,0,2
priority_552,0,0,2,2,0,1,1,0
priority_553,0,0,2,2,0,1,1,1
not_recom_554,0,0,2,2,0,1,1,2
priority_555,0,0,2,2,0,1,2,0
priority_556,0,0,2,2,0,1,2,1
not_recom_557,0,0,2,2,0,1,2,2
priority_558,0,0,2,2,1,0,0,0
priority_559,0,0,2,2,1,0,0,1
not_recom_560,0,0,2,2,1,0,0,2
priority_561,0,0,2,2,1,0,1,0
priority_562,0,0,2,2,1,0,1,1
not_recom_563,0,0,2,2,1,0,1,2
priority_564,0,0,2,2,1,0,2,0
priority_565,0,0,2,2,1,0,2,1
not_recom_566,0,0,2,2,1,0,2,2
priority_567,0,0,2,2,1,1,0,0
priority_568,0,0,2,2,1,1,0,1
not_recom_569,0,0,2,2,1,1,0,2
priority_570,0,0,2,2,1,1,1,0
priority_571,0,0,2,2,1,1,1,1
not_recom_572,0,0,2,2,1,1,1,2
priority_573,0,0,2,2,1,1,2,0
priority_574,0,0,2,2,1,1,2,1
not_recom_575,0,0,2,2,1,1,2,2
priority_576,0,0,2,2,2,0,0,0
priority_577,0,0,2,2,2,0,0,1
not_recom_578,0,0,2,2,2,0,0,2
priority_579,0,0,2,2,2,0,1,0
priority_580,0,0,2,2,2,0,1,1
not_recom_581,0,0,2,2,2,0,1,2
priority_582,0,0,2,2,2,0,2,0
priority_583,0,0,2,2,2,0,2,1
not_recom_584,0,0,2,2,2,0,2,2
priority_585,0,0,2,2,2,1,0,0
priority_586,0,0,2,2,2,1,0,1
not_recom_587,0,0,2,2,2,1,0,2
priority_588,0,0,2,2,2,1,1,0
priority_589,0,0,2,2,2,1,1,1
not_recom_590,0,0,2,2,2,1,1,2
priority_591,0,0,2,2,2,1,2,0
priority_592,0,0,2,2,2,1,2,1
not_recom_593,0,0,2,2,2,1,2,2
very_recom_594,0,0,2,3,0,0,0,0
priority_595,0,0,2,3,0,0,0,1
not_recom_596,0,0,2,3,0,0,0,2
very_recom_597,0,0,2,3,0,0,1,0
priority_598,0,0,2,3,0,0,1,1
not_recom_599,0,0,2,3,0,0,1,2
priority_600,0,0,2,3,0,0,2,0
priority_601,0,0,2,3,0,0,2,1
not_recom_602,0,0,2,3,0,0,2,2
priority_603,0,0,2,3,0,1,0,0
priority_604,0,0,2,3,0,1,0,1
not_recom_605,0,0,2,3,0,1,0,2
priority_606,0,0,2,3,0,1,1,0
priority_607,0,0,2,3,0,1,1,1
not_recom_608,0,0,2,3,0,1,1,2
priority_609,0,0,2,3,0,1,2,0
priority_610,0,0,2,3,0,1,2,1
not_recom_611,0,0,2,3,0,1,2,2
priority_612,0,0,2,3,1,0,0,0
priority_613,0,0,2,3,1,0,0,1
not_recom_614,0,0,2,3,1,0,0,2
priority_615,0,0,2,3,1,0,1,0
priority_616,0,0,2,3,1,0,1,1
not_recom_617,0,0,2,3,1,0,1,2
priority_618,0,0,2,3,1,0,2,0
priority_619,0,0,2,3,1,0,2,1
not_recom_620,0,0,2,3,1,0,2,2
priority_621,0,0,2,3,1,1,0,0
priority_622,0,0,2,3,1,1,0,1
not_recom_623,0,0,2,3,1,1,0,2
priority_624,0,0,2,3,1,1,1,0
priority_625,0,0,2,3,1,1,1,1
not_recom_626,0,0,2,3,1,1,1,2
priority_627,0,0,2,3,1,1,2,0
priority_628,0,0,2,3,1,1,2,1
not_recom_629,0,0,2,3,1,1,2,2
priority_630,0,0,2,3,2,0,0,0
priority_631,0,0,2,3,2,0,0,1
not_recom_632,0,0,2,3,2,0,0,2
priority_633,0,0,2,3,2,0,1,0
priority_634,0,0,2,3,2,0,1,1
not_recom_635,0,0,2,3,2,0,1,2
priority_636,0,0,2,3,2,0,2,0
priority_637,0,0,2,3,2,0,2,1
