target,date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-shread,leaf-malf,leaf-mild,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external-decay,mycelium,int-discolor,sclerotia,fruit-pods,fruit-spots,seed,mold-growth,seed-discolor,seed-size,shriveling,roots
powdery-mildew_96,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
powdery-mildew_97,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
powdery-mildew_98,4,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
downy-mildew_99,0,0,0,2,1,1,0,3,1,2,1,0,2,2,2,0,2,3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,0
downy-mildew_100,6,0,0,0,1,0,0,0,1,2,1,0,2,2,2,0,2,3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,0
downy-mildew_101,4,0,0,0,1,2,3,0,0,1,1,0,3,2,2,0,0,3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,0
downy-mildew_102,1,1,0,1,0,1,3,0,0,1,1,0,3,2,2,0,2,3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,0
downy-mildew_103,4,0,0,2,1,3,1,0,0,1,1,0,3,2,2,0,0,3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,0
downy-mildew_104,6,1,0,2,0,2,1,0,0,1,1,0,3,2,2,0,0,3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,0
downy-mildew_105,6,1,0,0,0,1,1,0,0,1,1,0,2,2,2,0,0,3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,0
downy-mildew_106,1,1,0,1,0,1,0,3,1,2,1,0,3,2,2,0,0,3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,0
downy-mildew_107,1,1,0,2,0,0,3,0,0,1,1,0,2,2,2,0,0,3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,0
downy-mildew_108,3,1,0,0,0,2,3,0,0,1,1,0,3,2,2,0,0,3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,0
brown-spot_109,4,1,0,1,1,2,2,0,0,2,0,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_110,6,0,0,0,0,1,2,0,1,1,1,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_111,6,0,0,0,0,1,2,0,1,0,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_112,6,0,0,0,0,0,1,0,3,0,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_113,4,1,0,1,1,2,2,0,1,1,0,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_114,4,1,0,0,0,1,2,0,0,2,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_115,5,1,0,1,1,2,2,0,3,1,1,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_116,6,0,0,0,0,1,2,0,0,0,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_117,4,0,0,0,0,1,2,0,1,1,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_118,6,1,0,0,0,2,2,0,0,2,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_119,3,0,0,0,0,1,3,0,0,1,1,0,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_120,4,1,0,0,0,2,2,0,1,2,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_121,4,0,0,0,0,2,2,0,3,0,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_122,1,0,0,0,0,0,2,0,0,0,1,0,2,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_123,4,0,0,0,0,1,2,0,0,1,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_124,1,1,0,0,0,2,2,0,0,2,1,0,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_125,6,0,0,0,0,2,2,0,0,0,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_126,5,1,2,0,1,1,3,3,3,1,0,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_127,4,1,2,0,1,1,1,3,0,2,1,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_128,4,1,0,0,0,0,1,0,3,2,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_129,4,0,0,0,0,0,2,0,0,0,1,0,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_130,6,0,0,0,0,2,2,0,1,1,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_131,2,0,0,0,0,1,2,1,3,1,1,0,2,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0
brown-spot_132,6,1,0,1,1,2,0,0,1,0,0,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_133,4,0,0,0,0,1,2,0,3,0,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_134,3,0,0,0,0,0,2,0,0,0,1,0,2,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_135,1,1,2,0,1,1,3,3,0,2,1,0,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
brown-spot_136,2,1,0,0,0,0,2,0,0,2,1,0,2,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_137,4,0,0,0,0,2,2,0,0,0,1,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_138,1,0,0,0,0,1,2,1,1,1,1,0,2,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0
brown-spot_139,6,1,0,0,0,1,2,0,0,2,1,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_140,6,1,2,0,1,3,1,0,1,0,1,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_141,2,1,0,0,0,2,0,0,0,2,1,0,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_142,2,0,0,0,0,2,2,1,3,0,1,0,2,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0
brown-spot_143,6,0,0,0,0,1,3,0,0,1,1,0,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_144,2,0,0,0,0,2,0,0,0,0,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_145,2,1,0,0,0,2,0,0,0,2,1,0,2,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_146,6,1,0,0,0,2,2,1,3,2,1,0,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
brown-spot_147,3,1,0,0,0,2,2,1,0,2,1,0,2,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0
bacterial-blight_148,3,0,0,0,1,2,2,0,1,0,1,0,2,2,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-blight_149,1,0,0,1,1,1,2,0,1,1,1,0,2,2,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-blight_150,6,0,2,0,0,3,1,3,0,0,1,0,3,2,3,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-blight_151,2,0,2,0,0,0,3,3,0,0,1,0,3,2,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-blight_152,2,0,2,0,0,2,3,3,0,0,1,0,3,2,3,2,2,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-blight_153,2,0,0,0,1,1,0,0,1,0,1,0,2,2,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-blight_154,2,0,2,0,0,0,1,3,0,1,1,0,3,2,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-blight_155,1,0,0,0,1,3,2,0,1,1,1,0,2,2,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-blight_156,6,0,2,0,0,2,0,3,0,0,1,0,3,2,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-blight_157,1,1,0,1,1,1,0,0,1,2,1,0,2,2,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-pustule_158,6,1,2,1,0,1,3,3,0,2,1,0,3,3,3,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,2
bacterial-pustule_159,2,0,0,2,1,1,2,0,1,1,0,0,2,3,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,2,2,2,0,0,0
bacterial-pustule_160,6,0,2,2,0,3,1,3,0,0,1,0,3,3,3,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
bacterial-pustule_161,1,1,0,0,0,2,1,0,0,2,1,0,3,2,3,2,2,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,2,0,1
bacterial-pustule_162,2,0,0,0,1,0,0,0,0,1,1,0,3,3,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,2,2,2,2,0,1
bacterial-pustule_163,2,1,2,2,0,1,1,3,0,2,1,0,2,3,3,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1
bacterial-pustule_164,2,0,2,0,1,1,2,3,0,1,0,0,3,3,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,2,2,2,2,0,0
bacterial-pustule_165,2,1,0,0,0,3,3,0,0,2,1,0,3,3,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,2,0,1
bacterial-pustule_166,1,0,2,0,1,0,2,3,0,1,1,0,3,3,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,2,2,2,2,0,0
bacterial-pustule_167,3,1,2,0,0,1,1,3,1,2,1,0,3,3,3,2,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1
purple-seed-stain_168,0,0,0,2,1,1,3,3,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,3,3,2,0,2,0,0,0
